corpus_id,title,authors,year,source_title_or_issuer,document_type,doi,url,screening_text,access,access_type,access_url,discovery_systems,document_verification_status,final_inclusion_basis,source_record_id
CWC-59CF454EFFD7,Respiratory responses of three Antarctic ascidians and a sea pen to increased sediment concentrations,Luciana Torre | Natalia Servetto | Matias Leonel Eöry | Fernando Momo | Marcos Tatián | Doris Abele | Ricardo Sahade,2012,Polar Biology,article,10.1007/s00300-012-1208-1,https://doi.org/10.1007/s00300-012-1208-1,"Glacial retreat and subglacial bedrock erosion are consequences of rapid regional warming on the West Antarctic Peninsula. Sedimentation of fine-grained eroded particles can impact the physiology of filter-feeding benthic organisms. We investigated the effect of increasing concentrations of sediment on the oxygen consumption of suspension feeding species, the ascidians Molgula pedunculata, Cnemidocarpa verrucosa, Ascidia challengeri, and the pennatulid Malacobelemnon daytoni in Potter Cove (South Shetland Islands, Antarctica). In A. challengeri and C. verrucosa, oxygen consumption increased gradually up to a critical sediment concentration (C (crit)) where species oxygen consumption was maximal (O (max) in mg O-2 g(-1)dm day(-1)) and further addition of sediments decreased respiration. C (crit) was 200 mg L-1 for A. challengeri (O (max) of 0.651 +/- A 0.238) and between 100 and 200 mg L-1 for C. verrucosa (O (max) of 0.898 +/- A 0.582). Oxygen consumption of M. pedunculata increased significantly even at low sediment concentrations (15-50 mg sediment L-1). Contrary to the ascidians, sediment exposure did not affect oxygen consumption of the sea pen. The tiered response to sedimentation in the four species corroborates recent field observations that detected a reduction in the abundance of the sensitive ascidian M. pedunculata from areas strongly affected by glacial sediment discharge, whereas sea pens are increasing in abundance. Our investigation relates consequences (population shifts in filter-feeder communities) to causes (glacial retreat) and is of importance for modelling of climate change effects in Antarctic shallow coastal areas.",NO,NOT_CONFIRMED,,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00002
CWC-85AD31107177,Mutualism between the antipatharian Antipathes fiordensis and the ophiuroid Astrobrachion constrictum in New Zealand fjords,K. R. Grange,1991,Hydrobiologia,article,10.1007/bf00026478,https://doi.org/10.1007/bf00026478,"A large and accessible population of the antipatharian Antipathes fiordensis occurs in the fjords of southern New Zealand. Many colonies support specimens of the perching asteroschematid ophiuroid, Astrobrachion constrictum, some of which have been observed in situ for over 5 y. Adult A. constrictum are restricted to A. fiordensis, and have never been found on any other organism. In situ experiments have shown that A. constrictum feeds at night, primarily on mucus produced by A. fiordensis polyps, but also on planktonic prey captured by the antipatharian's nematocysts. Feeding movements of the ophiuroid arms clear the antipatharian colony of suspended material that might smother the polyps. Observations following natural catastrophic events and transplant experiments have shown that survival of A. fiordensis is probably increased if A. constrictum is present.",NO,NOT_CONFIRMED,,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00018
CWC-C1B7BB939BE8,"Identification of tolerance levels on the cold-water coral Desmophyllum pertusum (Lophelia pertusa) from realistic exposure conditions to suspended bentonite, barite and drill cutting particles",Thierry Baussant | Maj Arnberg | Emily Lyng | Sreerekha Ramanand | Shaw Bamber | Mark Berry | Ingrid Myrnes Hansen | Dick van Oevelen | Peter van Breugel,2022,PLoS ONE,article,10.1371/journal.pone.0263061,https://doi.org/10.1371/journal.pone.0263061,"Cold-water coral (CWC) reefs are numerous and widespread along the Norwegian continental shelf where oil and gas industry operate. Uncertainties exist regarding their impacts from operational discharges to drilling. Effect thresholds obtained from near-realistic exposure of suspended particle concentrations for use in coral risk modeling are particularly needed. Here, nubbins of Desmophyllum pertusum (Lophelia pertusa) were exposed shortly (5 days, 4h repeated pulses) to suspended particles (bentonite BE; barite BA, and drill cuttings DC) in the range of similar to 4 to similar to 60 mg.l(-1) (actual concentration). Physiological responses (respiration rate, growth rate, mucus-related particulate organic carbon OC and particulate organic nitrogen ON) and polyp mortality were then measured 2 and 6 weeks post-exposure to assess long-term effects. Respiration and growth rates were not significantly different in any of the treatments tested compared to control. OC production was not affected in any treatment, but a significant increase of OC:ON in mucus produced by BE-exposed (23 and 48 mg.l(-1)) corals was revealed 2 weeks after exposure. Polyp mortality increased significantly at the two highest DC doses (19 and 49 mg.l(-1)) 2 and 6 weeks post-exposure but no significant difference was observed in any of the other treatments compared to the control. These findings are adding new knowledge on coral resilience to short realistic exposure of suspended drill particles and indicate overall a risk for long-term effects at a threshold of similar to 20 mg.l(-1).",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0263061&type=printable,Grey literature | OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00027
CWC-C69AD807E3BA,Tolerance to long-term exposure of suspended benthic sediments and drill cuttings in the cold-water coral Lophelia pertusa,Ann I. Larsson | Dick van Oevelen | Autun Purser | Laurenz Thomsen,2013,Marine Pollution Bulletin,article,10.1016/j.marpolbul.2013.02.033,https://doi.org/10.1016/j.marpolbul.2013.02.033,"The cold-water coral Lophelia pertusa was exposed to suspended particles (<63 mu m) for 12 weeks. Skeletal growth was significantly lower under exposure concentrations of similar to 25 mg l(-1) than similar to 5 mg l(-1) and there was a trend of lower growth rates when exposed to water-based drill cuttings than to natural benthic sediment. Polyp extension was less in corals exposed to higher material concentrations, which provides a possible explanation for observed skeletal growth differences between particle concentrations. Particle exposure had no significant impact on respiration or proportions of tissue and fatty acids in corals. The volume of additional cleaning mucus released by exposed corals was low and release did not significantly affect coral energy expenditure. Our results indicate that L. pertusa polyps can deal comparatively well with enhanced particle deposition rates and suspended matter concentrations. However, a small pilot experiment indicated that coral larvae might be particularly vulnerable to high particle concentrations. (c) 2013 Elsevier Ltd. All rights reserved.",NO,NOT_CONFIRMED,,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00028
CWC-F69FB12668AB,Direct Visualization of Mucus Production by the Cold-Water Coral Lophelia pertusa with Digital Holographic Microscopy,Eva‐Maria Zetsche | Thierry Baussant | Filip J. R. Meysman | Dick van Oevelen,2016,PLoS ONE,article,10.1371/journal.pone.0146766,https://doi.org/10.1371/journal.pone.0146766,"Lophelia pertusa is the dominant reef-building organism of cold-water coral reefs, and is known to produce significant amounts of mucus, which could involve an important metabolic cost. Mucus is involved in particle removal and feeding processes, yet the triggers and dynamics of mucus production are currently still poorly described because the existing tools to study these processes are not appropriate. Using a novel microscopic technique-digital holographic microscopy (DHM)-we studied the mucus release of L. pertusa under various experimental conditions. DHM technology permits mu m-scale observations and allows the visualization of transparent mucoid substances in real time without staining. Fragments of L. pertusa were first maintained in flow-through chambers without stressors and imaged with DHM, then exposed to various stressors (suspended particles, particulate food and air exposure) and re-imaged. Under non-stressed conditions no release of mucus was observed, whilst mucus strings and sheaths were produced in response to suspended particles (activated charcoal and drill cuttings sediment) i.e. in a stressed condition. Mucus strings and so-called 'string balls' were also observed in response to exposure to particulate food (brine shrimp Artemia salina). Upon air-exposure, mucus production was clearly visible once the fragments were returned to the flow chamber. Distinct optical properties such as optical path length difference (OPD) were measured with DHM in response to the various stimuli suggesting that different mucus types are produced by L. pertusa. Mucus produced to reject particles is similar in refractive index to the surrounding seawater, suggesting that the energy content of this mucus is low. In contrast, mucus produced in response to either food particle addition or air exposure had a higher refractive index, suggesting a higher metabolic investment in the production of these mucoid substances. This paper shows for the first time the potential of DHM technology for the detection, characterization and quantification of mucus production through OPD measurements in L. pertusa.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0146766&type=printable,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00029
CWC-7A3BE9870A2A,Sedimentation on the cold-water coral Lophelia pertusa: Cleaning efficiency from natural sediments and drill cuttings,Ann I. Larsson | Autun Purser,2011,Marine Pollution Bulletin,article,10.1016/j.marpolbul.2011.03.041,https://doi.org/10.1016/j.marpolbul.2011.03.041,"Anthropogenic threats to cold-water coral reefs are trawling and hydrocarbon drilling, with both activities causing increased levels of suspended particles. The efficiency of Lophelia pertusa in rejecting local sediments and drill cuttings from the coral surface was evaluated and found not to differ between sediment types. Further results showed that the coral efficiently removed deposited material even after repeated exposures, indicating an efficient cleaning mechanism. In an experiment focusing on burial, fine-fraction drill cuttings were deposited on corals over time. Drill cutting covered coral area increased with repeated depositions, with accumulation mainly occurring on and adjacent to regions of the coral skeleton lacking tissue cover. Tissue was smothered and polyp mortality occurred where polyps became wholly covered by material. Burial of coral by drill cuttings to the current threshold level used in environmental risk assessment models by the offshore industry (6.3 mm) may result in damage to L pertusa colonies. (C) 2011 Elsevier Ltd. All rights reserved.",NO,NOT_CONFIRMED,,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00032
CWC-EDB1480675F9,"Effects and recovery of larvae of the cold-water coral Lophelia pertusa (Desmophyllum pertusum) exposed to suspended bentonite, barite and drill cuttings",Johanna Järnegren | Sandra Brooke | Henrik Jensen,2020,Marine Environmental Research,article,10.1016/j.marenvres.2020.104996,https://doi.org/10.1016/j.marenvres.2020.104996,"Fossil fuel drilling operations create sediment plumes and release waste materials into the ocean. These operations sometimes occur close to sensitive marine ecosystems, such as cold-water corals. While there have been several studies on the effects of energy industry activities on adult corals, there is very little information on potential impacts to their early life history stages. Larval stages of many marine organisms, including cold-water corals use cilia as a means of feeding and swimming, and if these structures become clogged with suspended particulates, the larvae may sink and be lost to the system. The objective of this study was to understand the response of Lophelia pertusa larvae to a different drilling waste components, and assess post-exposure recovery. Larvae of two ages (eight and 21 days) were exposed to a range of concentrations of bentonite, barite and drill cuttings. Larval sensitivity was assessed using the concentration at which 50% of the larvae showed behavioral effects (EC50) or lethal effects (LC50). Larvae showed greatest sensitivity to bentonite, followed by barite and drill cuttings, and also showed age-related responses that differed among the test materials. Post exposure recovery was variable across materials, with larvae exposed to bentonite having the lowest recovery rates. Understanding the vulnerability of early life history stages to human activities can help inform management strategies to preserve reproductive capacity of important marine ecosystems.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.sciencedirect.com/science/article/pii/S0141113619307913/pdf,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00034
CWC-3143828C5285,Mechanical and toxicological effects of deep-sea mining sediment plumes on a habitat-forming cold-water octocoral,Marina Carreiro‐Silva | Inês Martins | Virginie Riou | Joana Raimundo | Miguel Caetano | Raúl Bettencourt | Maria Rakka | Teresa Cerqueira | António Godinho | Telmo Morato | Ana Colaço,2022,Frontiers in Marine Science,article,10.3389/fmars.2022.915650,https://doi.org/10.3389/fmars.2022.915650,"Deep-sea mining activities are expected to impact deep-sea biota through the generation of sediment plumes that disperse across vast areas of the ocean. Benthic sessile suspension-feeding fauna, such as cold-water corals, may be particularly susceptible to increased suspended sediments. Here, we exposed the cold-water octocoral, Dentomuricea aff. meteor to suspended particles generated during potential mining activities in a four weeks experimental study. Corals were exposed to three experimental treatments: (1) control conditions (no added sediments); (2) suspended polymetallic sulphide (PMS) particles; (3) suspended quartz particles. The two particle treatments were designed to distinguish between potential mechanical and toxicological effects of mining particles. PMS particles were obtained by grinding PMS inactive chimney rocks collected at the hydrothermal vent field Lucky Strike. Both particle types were delivered at a concentration of 25 mg L -1 , but achieved suspended concentrations were 2-3 mg L -1 for the PMS and 15-18 mg L -1 for the quartz particles due to the different particle density. Results of the experiment revealed a significant increase in dissolved cobalt, copper and manganese concentrations in the PMS treatment, resulting from the oxidation of sulphides in contact with seawater. Negative effects of PMS exposure included a progressive loss in tissue condition with necrosis and bioaccumulation of copper in coral tissues and skeletons, and death of all coral fragments by the end of the experiment. Physiological changes under PMS exposure, included increased respiration and ammonia excretion rates in corals after 13 days of exposure, indicating physiological stress and potential metabolic exhaustion. Changes in the cellular stress biomarkers and gene expression profiles were more pronounced in corals exposed to quartz particles, suggesting that the mechanical effect of particles although not causing measurable changes in the physiological functions of the coral, can still be detrimental to corals by eliciting cellular stress and immune responses. We hypothesize that the high mortality of corals recorded in the PMS treatment may have resulted from the combined and potentially synergistic mechanical and toxicological effects of the PMS particles. Given the dispersal potential of mining plumes and the highly sensitive nature of octocorals, marine protected areas, buffer areas or non-mining areas may be necessary to protect deep-sea coral communities.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.3389/fmars.2022.915650,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00046
CWC-65CF36C85E16,Effects of drill cuttings on larvae of the cold-water coral Lophelia pertusa,Johanna Järnegren | Sandra Brooke | Henrik Jensen,2016,Deep Sea Research Part II Topical Studies in Oceanography,article,10.1016/j.dsr2.2016.06.014,https://doi.org/10.1016/j.dsr2.2016.06.014,"Fossil fuel consumption is predicted to dominate energy needs until at least 2040. To make up for reduced production from maturing fields, oil and gas exploration activities on the Norwegian continental shelf have greatly increased over the past several years. Strict emission controls have resulted in a substantial reduction in the release of hazardous chemicals. However, because of the increased exploration the discharges of water-based drill cuttings and muds have increased substantially, temporarily increasing water column sediment loads. The stony coral Lophelia pertusa is the most widely distributed and well-studied of the structure forming cold water corals (CWC) and it thrives in Norwegian waters where many reefs are located in the vicinity of oil platforms or exploration areas. This species provides habitat for a diverse and abundant assemblage of invertebrates and fishes, including commercially valuable species. High sediment loads are known to negatively affect adult corals, but impacts on the early life history stages are unknown. We investigated the effects of a range of drill cutting concentrations (0.5-640 ppm) on larvae of L. pertusa at ages five days and 15-20 days. One set of experiments was conducted in static experimental chambers that exposed larvae to decreasing concentrations over time, and the other maintained continuous drill cutting concentrations for the duration of the experiment (24 h). Increased sediment load for a duration of 24 h caused significant larval mortality, but there was an age-dependent difference in sensitivity of larvae. Younger larvae were significantly more susceptible to lower concentrations of drill cuttings than older larvae, while the older larvae were significantly more affected at higher concentrations. Five day old larvae were affected at treatment concentration 40 ppm. The larval cilia became clogged, preventing the larvae from swimming actively and ultimately causing mortality. Larvae of many species use cilia for swimming and feeding, so negative impacts of increased sediment may not be limited to corals. (C) 2016 Elsevier Ltd. All rights reserved.",NO,NOT_CONFIRMED,,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00049
CWC-B27727ED4386,Effects of suspended drill cuttings on the coral Lophelia pertusa using pulsed and continuous exposure scenarios,Thierry Baussant | Marianne Nilsen | Elisa Ravagnan | Stig Westerlund | Sreerekha Ramanand,2018,Journal of Toxicology and Environmental Health,article,10.1080/15287394.2018.1444375,https://doi.org/10.1080/15287394.2018.1444375,"ABSTRACT This study aimed at providing confidence in the predictability of the impacts of drill cuttings (DC) discharge on the cold-water coral Lophelia pertusa. L. pertusa was exposed to DC from offshore exploration in the lab with the goal to assess precautionary thresholds of effects. Two exposure scenarios with DC were tested: a long-term (LT) pulsed exposure (12 weeks, peak concentrations: 2–50 mg/L, mean concentrations: 1–25 mg/L) and a short-term (ST) continuous exposure (2.5 weeks, mean concentrations: 4–42 mg/L). After exposure, a recovery period of 16 and 4 weeks was maintained in LT and ST, respectively. While there was an assumption that DC might result in an increase in respiration, decrease in growth, enhanced mucus production, reduced fatty acid content, only a significant rise was noted in skeleton growth at DC 4 mg/L and a significant increase of mucus particulate organic carbon at 25 mg/L at end of the exposure. DC did not markedly reduce prey capture rate consecutive to DC exposure. However, the effect of DC produced an increase of coral polyp activity during exposure and a return to pre-exposure conditions after cessation of DC, and coenosarc was smothered from DC even after a long recovery period (4 weeks). Overall, a DC concentration of 10 mg/L seems to represent a threshold above which changes in coral conditions were observed however with no apparent physiological consequences for the coral within the experimental time scale.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://figshare.com/articles/journal_contribution/Effects_of_suspended_drill_cuttings_on_the_coral_i_Lophelia_pertusa_i_using_pulsed_and_continuous_exposure_scenarios/5984998,OpenAlex | Semantic Scholar | Web of Science,VERIFIED_BIBLIOGRAPHIC_DOCUMENT,PRODUCTION_CORE_INCLUDE,PROD-00050
