seed_generation,corpus_id,openalex_id,title,doi,families,discovery_systems,occurrence_count,seed_basis
0,CWC-59CF454EFFD7,W2087656064,Respiratory responses of three Antarctic ascidians and a sea pen to increased sediment concentrations,10.1007/s00300-012-1208-1,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-C69AD807E3BA,W2160612910,Tolerance to long-term exposure of suspended benthic sediments and drill cuttings in the cold-water coral Lophelia pertusa,10.1016/j.marpolbul.2013.02.033,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_DRILLING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,16,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-F69FB12668AB,W2265474839,Direct Visualization of Mucus Production by the Cold-Water Coral Lophelia pertusa with Digital Holographic Microscopy,10.1371/journal.pone.0146766,MECH_FEEDING_MUCUS_CORAL | SED_DRILLING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-7A3BE9870A2A,W1987708571,Sedimentation on the cold-water coral Lophelia pertusa: Cleaning efficiency from natural sediments and drill cuttings,10.1016/j.marpolbul.2011.03.041,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_DRILLING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,14,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-EDB1480675F9,W3019785981,"Effects and recovery of larvae of the cold-water coral Lophelia pertusa (Desmophyllum pertusum) exposed to suspended bentonite, barite and drill cuttings",10.1016/j.marenvres.2020.104996,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DREDGING | SED_DRILLING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,15,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-65EE21932D87,W1966253810,Coral mucus functions as an energy carrier and particle trap in the reef ecosystem,10.1038/nature02344,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-9DFB6E420F8B,W2016219567,Mucus-net feeding by the vermetid gastropod Dendropoma maxima in coral reefs,10.3354/meps204309,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-76082769EE1A,W1992283489,Mucus trap in coral reefs: formation and temporal evolution of particle aggregates caused by coral mucus,10.3354/meps307069,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-3143828C5285,W4304608995,Mechanical and toxicological effects of deep-sea mining sediment plumes on a habitat-forming cold-water octocoral,10.3389/fmars.2022.915650,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DREDGING | SED_DRILLING | SED_SUSPENDED | SED_TAILINGS,OpenAlex | Semantic Scholar | Web of Science,15,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-FBEF158A306E,W2146710792,Shifting roles of heterotrophy and autotrophy in coral energetics under varying turbidity,10.1016/s0022-0981(00)00237-9,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-65CF36C85E16,W2464142271,Effects of drill cuttings on larvae of the cold-water coral Lophelia pertusa,10.1016/j.dsr2.2016.06.014,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_DRILLING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,14,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-B27727ED4386,W2790518174,Effects of suspended drill cuttings on the coral <i>Lophelia pertusa</i> using pulsed and continuous exposure scenarios,10.1080/15287394.2018.1444375,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DRILLING,OpenAlex | Semantic Scholar | Web of Science,12,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-F4145597F5EA,W4413452972,"Impacts of barite and bentonite sedimentation on the behaviour, mucus production and cnidocytes of the deep-sea coral Flabellum (Ulocyathus) alabastrum",10.1016/j.dsr2.2025.105536,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DRILLING,Grey literature | OpenAlex | Semantic Scholar | Web of Science,11,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-06A242DB83C1,W2479857337,An evaluation of coral<i>lophelia pertusa</i>mucus as an analytical matrix for environmental monitoring: A preliminary proteomic study,10.1080/15287394.2016.1210494,MECH_FEEDING_MUCUS_CORAL | SED_DRILLING,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-E71201EC464A,W2166927678,Perspectives on mucus secretion in reef corals,10.3354/meps296291,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-6F7B9CC53341,W1531065141,Mucus Production by Corals Exposed during an Extreme Low Tide,,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-16EACA2BB13E,W2745495934,Adaptive mechanisms and physiological effects of suspended and settled sediment on barrel sponges,10.1016/j.jembe.2017.07.013,MECH_FEEDING_MUCUS_CORAL | MECH_FEEDING_PUMPING_SPONGE | RESP_THRESHOLD_RECOVERY | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-79021F87A4FC,W2957874086,Can Porites spp. corals be used as a bio-indicator for sediment stress on coral reefs?,10.1016/j.ecolind.2019.105538,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,11,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-556342AA9FA2,W2051907680,Environmental impacts of dredging and other sediment disturbances on corals: A review,10.1016/j.marpolbul.2012.05.008,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,15,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-26475E0D61EB,W2044633319,"Effects of sedimentation on the gorgonian Subergorgia suberosa (Pallas, 1766)",10.1007/s00227-011-1649-z,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,7,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-BD64C3058310,W4390603375,Beneficial properties of mucus in coral adaptations and ecological interactions,10.1007/s00227-023-04372-4,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-84282236C919,W2181931100,"Among-Genotype Variation For Sediment Rejection In The Reef-Building Coral Diploastrea Heliopora (Lamarck, 1816)",10.5281/zenodo.5350227,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-6349159B1AA6,W2751270816,Coral morphology and sedimentation,10.1016/j.marpolbul.2017.08.036,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,15,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-D6AEBFEC04B2,W1968026621,Influence of coral mucus on nutrient fluxes in carbonate sands,10.3354/meps287087,MECH_FEEDING_MUCUS_CORAL,Semantic Scholar | Web of Science,2,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-A6B60895B3DB,W7168142538,Context-dependent coral physiological responses to heat stress across a natural turbidity gradient,10.1016/j.marenvres.2026.108281,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,8,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-318AD4B1A59D,W1855794263,The effect of seasonal temperature extremes on sediment rejection in three scleractinian coral species,10.1007/s00338-015-1359-y,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,12,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-BC55B919B40A,W2171499130,Sediment‐induced turbidity impairs foraging performance and prey choice of planktivorous coral reef fishes,10.1890/12-0704.1,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,10,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-90641837875C,W2046201562,Sediment-rejection efficiency of 22 species of Australian scleractinian corals,10.1007/bf00346340,MECH_FEEDING_MUCUS_CORAL,Grey literature | OpenAlex | Semantic Scholar | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-0B7768455DAC,W2802977721,The effects of suspended sediment on coral reef fish assemblages and feeding guilds of north-west Australia,10.1007/s00338-018-1690-1,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,16,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-2AFFA256ECC4,W2950150010,"Effects of thermal stress on amount, composition, and antibacterial properties of coral mucus",10.7717/peerj.6849,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-DF4BD1A36841,W1994108243,Coral mucus as an efficient trap for picoplanktonic cyanobacteria: implications for pelagic–benthic coupling in the reef ecosystem,10.3354/meps08073,MECH_FEEDING_MUCUS_CORAL,Semantic Scholar | Web of Science,2,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-1232E9ACE3BB,W2619001036,Metabolic responses of a phototrophic sponge to sedimentation supports transitions to sponge-dominated reefs,10.1038/s41598-017-03018-y,MECH_FEEDING_MUCUS_CORAL | MECH_FEEDING_PUMPING_SPONGE,OpenAlex | Semantic Scholar | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-512EB1B4D7E8,W2753867976,Modelling for management: Coral photo-physiology and growth potential under varying turbidity regimes,10.1016/j.ecolmodel.2017.08.018,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_DREDGING | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,13,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-A1CC1F0E1730,W2010291084,Patterns of Oil-Sediment rejection in corals,10.1007/bf00389121,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-70A7339A26B5,W2024676504,Sediment rejection by reef corals: The roles of behavior and morphology in Montastrea cavernosa (Linnaeus),10.1016/0022-0981(80)90139-2,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-5EFCAF1E0125,W2132130965,Environmental limits to growth: physiological niche boundaries of corals along turbidity–light gradients,10.1007/s00442-004-1647-7,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
