domain,broad_result_occurrences
sciencedirect.com,23
fisheries.noaa.gov,16
frontiersin.org,15
facebook.com,10
academia.edu,8
pmc.ncbi.nlm.nih.gov,7
leyslab.weebly.com,6
dfo-mpo.gc.ca,6
publications.gc.ca,6
ncei.noaa.gov,5
waves-vagues.dfo-mpo.gc.ca,4
istockphoto.com,4
usgs.gov,4
readkong.com,4
ocean.si.edu,4
nature.com,4
aims.gov.au,4
gettyimages.com,3
sanctuarysimon.org,3
marlin.ac.uk,3
storymaps.arcgis.com,3
youtube.com,3
shapeoflife.org,3
dresseldivers.com,3
thefossilforum.com,3
link.springer.com,3
doi.org,3
pubs.usgs.gov,2
ui.adsabs.harvard.edu,2
mbari.org,2
foldscope.com,2
redbubble.com,2
en.wikipedia.org,2
pure.ed.ac.uk,2
researchgate.net,2
nora.nerc.ac.uk,2
snorkelstj.com,2
bp.com,2
coraldigest.org,2
icareaboutcoral.org,2
livingoceansfoundation.org,2
innerspacecenter.org,2
currentconservation.org,2
nsuworks.nova.edu,2
harteresearch.org,2
lkcnhm.nus.edu.sg,2
linkedin.com,2
discovery.researcher.life,2
experiment.com,2
fao.org,2
bg.copernicus.org,1
livingoceans.org,1
woa.un.org,1
int-res.com,1
bio.fsu.edu,1
aslopubs.onlinelibrary.wiley.com,1
deepseanews.com,1
smithsonianmag.com,1
ebsco.com,1
data.jncc.gov.uk,1
tiktok.com,1
deepseacoraldata.noaa.gov,1
catalog.data.gov,1
nioz.nl,1
exploration.exxonmobilcanada.ca,1
pure.uva.nl,1
repository.library.noaa.gov,1
openknowledge.fao.org,1
orbit.dtu.dk,1
archive.ics.uci.edu,1
oceanservice.noaa.gov,1
reidenbach.evsc.virginia.edu,1
bionumbers.hms.harvard.edu,1
nautiluslive.org,1
ovid.com,1
cpawsbc.org,1
deep-ocean-education-project.mystagingwebsite.com,1
encounteredu.com,1
