query_id,family,source,date_searched,paper_id,corpus_id,title,authors,year,publication_date,venue,publication_types,doi,arxiv_id,pubmed_id,url,is_open_access,open_access_pdf_url,citation_count,reference_count,influential_citation_count,fields_of_study,s2_fields_of_study,abstract
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,0005987722f7be475b6671f70027b247a770e52a,210275131,A new model of Holocene reef initiation and growth in response to sea-level rise on the Southern Great Barrier Reef,K. Sanborn; J. Webster; G. Webb; J. Braga; M. Humblet; L. Nothdurft; Madhavi A. Patterson; B. Dechnik; Susan C. Warner; Trevor L. Graham; R. Murphy; Y. Yokoyama; S. Obrochta; Jian-xin Zhao; Marcos Salas-Saavedra,2020,2020-03-01,,,10.1016/j.sedgeo.2019.105556,,,https://www.semanticscholar.org/paper/0005987722f7be475b6671f70027b247a770e52a,False,,24,103,1,Geology,Geology; Environmental Science; Geology,"The fossil record provides valuable data for improving our understanding of both past and future reef resilience and vulnerability to environmental change. The spatial and temporal pattern of the initiation of the Holocene Great Barrier Reef presents a case study of reef response to rapid sea-level rise. Past studies have been limited by the lack of well-dated and closely spaced reef core transects and have not closely examined the composition of the reef-building communities through time. This study presents 80 new high precision U[sbnd]Th and 5 radiocarbon ages from twelve new cores located along three transects across different geomorphic and hydrodynamic settings of One Tree Reef, southern Great Barrier Reef, to document three distinct stages of Holocene reef development in unprecedented detail. Temporal constraints on changing paleoecological assemblages of coral, coralline algae and associated biota revealed three distinct phases of reef development, consisting of: 1)a fast, shallow and clear-water reef initiation from 8.2 until 8 ka; 2)a shift to slower, deeper and more turbid-water reef growth from 8 to 7 ka; and 3)a return to shallow and rapid branching coral growth in clear-water conditions as the reef “catches up” to sea-level. A minimum lag prior to reef initiation of 700 years was identified, which differs in length depending on reef environment and Pleistocene substrate height. In this new model, reef growth initiated on the topographically lower leeward margin and patch reef, prior to the start of windward margin development, contrary to the traditional reef growth model. While there was a shift to conditions less favorable for reef growth at 8 ka, this did not prevent the slow accretion of more sediment-tolerant coral communities. The majority of the reef reached sea level by ~6 ka. This new conceptual model of Holocene reef growth provides new constraints on changes in paleoenvironment that controlled reef community composition and growth trajectories through sea-level rise following inundation."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,000e8337b58b8e581863098b1a8f3f918455b227,32894466,Nearshore Turbid-Zone Corals Exhibit High Bleaching Tolerance on the Great Barrier Reef Following the 2016 Ocean Warming Event,K. Morgan; C. Perry; J. Johnson; S. Smithers,2017,2017-07-19,Frontiers in Marine Science,Review,10.3389/fmars.2017.00224,,,https://www.semanticscholar.org/paper/000e8337b58b8e581863098b1a8f3f918455b227,True,https://www.frontiersin.org/articles/10.3389/fmars.2017.00224/pdf,145,62,12,Biology,Biology; Environmental Science,"High sea surface temperatures (SSTs) on the Great Barrier Reef (GBR) during summer 2015/2016 caused extensive coral bleaching, with aerial and in-water surveys confirming high (but variable) bleaching-related coral mortality. In contrast, bleaching impacts on nearshore turbid-zone reefs, traditionally considered more “marginal” coral habitats, remain poorly documented. This is because rapid ecological surveys are difficult in these turbid water settings, and baseline coral community data from which to quantify disturbance are rare. However, models suggest that the extreme environmental conditions characteristic of nearshore settings (e.g., fluctuating turbidity, light and temperature) may acclimate corals to the thermal anomalies associated with bleaching on offshore reefs, although validation by field evidence has to-date been sparse. Here we present a novel pre- (June 2013/2014) and post-warming (August 2016) assessment of turbid-zone coral communities and examine the response of corals to prolonged and acute heat stress within the Paluma Shoals reef complex, located on the central GBR. Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48 ± 20%; post: 55 ± 26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event. Indeed, only one coral colony (Lobophyllia sp.) exhibited full colony bleaching, and just 1.5% of colonies displayed partial pigmentation loss (<20% colony surface). Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings. Importantly, field surveys confirm regional SSTs were sufficiently high to induce coral bleaching (i.e., comparable number of degree heating days in nearshore and offshore areas), but bleaching severity was much higher at central GBR offshore sites. A more optimistic outlook than is generally offered for nearshore reefs on the central GBR may be implied by our results, which highlights the importance of these resilient but often overlooked coral reef habitats as potential refugia during climate-related disturbances."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,004b0217fc23719e5ed3f6c78ecc25c38059e509,53143466,Recreating pulsed turbidity events to determine coral–sediment thresholds for active management,N. Browne; J. K. Tay; P. Todd,2015,2015-05-01,,Review,10.1016/J.JEMBE.2015.02.010,,,https://www.semanticscholar.org/paper/004b0217fc23719e5ed3f6c78ecc25c38059e509,True,https://espace.curtin.edu.au/bitstream/20.500.11937/11460/2/226956_226957.pdf,35,84,2,Biology,Biology; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,007a90856ee33b5971e01912033a4d9efce34e86,128713975,Carbonate and terrigenous sediment budgets for two inshore turbid reefs on the central Great Barrier Reef,N. Browne; S. Smithers; C. Perry,2013,2013-12-01,,,10.1016/J.MARGEO.2013.08.011,,,https://www.semanticscholar.org/paper/007a90856ee33b5971e01912033a4d9efce34e86,False,,45,108,2,Geology,Geology; Environmental Science; Geology,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,00a53c15157557c66d18e425b00f03a97ef4beda,268714115,"The crinoid Jimbacrinus bostocki from the Lower Permian Cundlego Formation near Gascoyne Junction, Western Australia",R. Willink; Tom Kapitany,2024,2024-03-25,Alcheringa,JournalArticle,10.1080/03115518.2024.2323461,,,https://www.semanticscholar.org/paper/00a53c15157557c66d18e425b00f03a97ef4beda,False,,2,37,0,,Geology,"Abstract Invertebrate macrofossils are superbly preserved in slabs of calcareous silty sandstone exposed in the bed of the Gascoyne River just west of Gascoyne Junction, Western Australia. Based on regional mapping, these rocks have been assigned to the shallow marine Cundlego Formation, which has been dated to the Early Permian. Many of the slabs have preserved the cladid, inadunate crinoid Jimbacrinus bostocki in large numbers, with densities of 150 individuals or more per square metre. Articulated crowns with complete or partial stems attached are often haphazardly aggregated in pods. Details on the morphology of J. bostocki are provided, particularly on juveniles which have cirriferous stems. Adult stems lack any obvious holdfast and are acutely geniculate below the calyx before being preferentially directed linearly in the homocrinid (E–BC) symmetry plane in the E ray direction. Crowns are commonly preserved with their arms arranged in a protective manner, also referred to as the ‘trauma’ posture. It is inferred that such individuals were likely transported alive by storm induced turbidity currents from a feeding position on a marine shelf to deeper, possibly more anoxic, waters, often accumulating en masse in syndepositional lows such as swales. They were subsequently smothered by sediment and rapidly buried. These fossiliferous deposits are interpreted as an “obrution” Lagerstätte. Using taphonomic and functional morphology analysis, possible options for the feeding posture of J. bostocki are proposed. Because of its advanced arm morphology comprising mainly oblique muscular articulations between brachials, the question whether adults were motile, rather than sessile, is addressed. Robbert J Willink [robblink@ozemail.com.au], 11 Coral Sea Court, Sunshine Beach, Queensland 4567, Australia. Tom Kapitany [tomk@crystal-world.com] Crystal World, 13 Olive Road, Devon Meadows, Victoria 3977, Australia."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,00a5c42e6b9b149390027cbd3254bd96bb74bd7a,133241193,Some observation on the structure and distribution of Gorgonian assemblages in the eastern Mediterranean Sea,M. Salomidi; Christopher J. Smith; S. Katsanevakis; P. Panayotidis; V. Papathanassiou,2014,2014-08-05,,Review,,,,https://www.semanticscholar.org/paper/00a5c42e6b9b149390027cbd3254bd96bb74bd7a,False,,8,1,0,Geography,Geography; Environmental Science; Geology,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,00c70175d3c160ae7ad29965c2d15f61c90fbe5f,215409252,Niche space of corals along the Florida reef tract,R. van Woesik; L. Roth; Elizabeth J Brown; Kelly R McCaffrey; J. Roth,2020,2020-04-07,PLoS ONE,JournalArticle,10.1371/journal.pone.0231104,,32255794,https://www.semanticscholar.org/paper/00c70175d3c160ae7ad29965c2d15f61c90fbe5f,True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0231104&type=printable,14,70,2,Medicine; Environmental Science,Medicine; Environmental Science; Environmental Science,"Over the last three decades corals have declined precipitously in the Florida Keys. Their population decline has prompted restoration effort. Yet, little effort has been invested in understanding the contemporary niche spaces of coral species, which could assist in prioritizing conservation habitats. We sought to predict the probability of occurrence of 23 coral species, including the critically endangered Acropora cervicornis, using observations at 985 sites from 2011–2015. We ran boosted regression trees to evaluate the relationship between the presence of these corals and eight potential environmental predictors: (i) bathymetry (m), (ii) mean of daily sea surface temperature (SST) (°C), (iii) variance of SST (°C), (iv) range of SST (°C), (v) chlorophyll-a concentration (mg m3), (vi) turbidity (m-1), (vii) wave energy (kJ m-2), and (viii) distance from coast (km). The Marquesas and the lower and upper Florida Keys were predicted to support the most suitable habitats for the 23 coral species examined. A. cervicornis had one of the smallest areas of suitable habitat, which was limited to the lower and upper Florida Keys, the Dry Tortugas, and nearshore Broward-Miami reefs. The best environmental predictors of site occupancy of A. cervicornis were SST range (4–5°C) and turbidity (K490 between 0.15–0.25 m-1). Historically A. cervicornis was reported in clear oligotrophic waters, although the present results find the coral species surviving in nearshore turbid conditions. Nearshore, turbid reefs may shade corals during high-temperature events, and therefore nearshore reefs in south Florida may become important refuges for corals as the ocean temperatures continue to increase."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,00d936229bfac89bed45fb729d4f499026a047bd,133913638,Frontiers of Coral-Based Sclerochronological Studies in Japan,K. Sowa; Kentaro Tanaka,2018,,,,10.1007/978-981-10-6473-9_6,,,https://www.semanticscholar.org/paper/00d936229bfac89bed45fb729d4f499026a047bd,False,,0,263,0,Environmental Science,Environmental Science; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,00f7461bdf32a52bd2ef3c08f03d3e2d0720f179,6845800,QSAR model for predicting cell viability of human embryonic kidney cells exposed to SiO₂ nanoparticles.,S. Manganelli; Caterina Leone; A. Toropov; A. Toropova; E. Benfenati,2016,2016-02-01,Chemosphere,JournalArticle,10.1016/j.chemosphere.2015.09.086,,26439516,https://www.semanticscholar.org/paper/00f7461bdf32a52bd2ef3c08f03d3e2d0720f179,False,,41,22,1,Chemistry; Medicine,Chemistry; Medicine; Environmental Science; Materials Science; Medicine,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,010922aa0078d4d10d802da0eec5a584ffd532e8,278244626,Well Water Purification and Clean Water Distribution in the School Area of Yayasan Perguruan Serasan Muara Enim,T. Agustina; Syaiful; Tuti Indah Sari; Rianyza Gayatri; Dwi Setyawan; M. Taufik; Emiyati; D. Aryani; Dody Tri Purnawinata; Miftahul Jannah; Mita Hargianti,2025,2025-04-30,Sricommerce Journal of Sriwijaya Community Services,JournalArticle,10.29259/jscs.v6i1.208,,,https://www.semanticscholar.org/paper/010922aa0078d4d10d802da0eec5a584ffd532e8,False,,0,22,0,,Environmental Science; Engineering,"Water is one of the natural resources that has a very important function. The existence of clean water in an area is very important, including in the school area. To support the availability of clean water in the school area at Yayasan Perguruan Serasan Muara Enim (YPS), namely by utilizing rainwater reservoirs, in addition to PDAM. However, the provision of clean water has not been able to meet water needs because the source of PDAM pipes is far away, and the distribution network pipes are not yet available. This often causes schools that are the furthest away not to get water flow so that they often must buy clean water which results in high school operational costs. There is one well to anticipate water needs, but the condition of the well water is cloudy yellowish and slightly smelly so it needs to be clarified first so that it can be used. The installation of a simple water purification device needs to be designed so that the water is suitable for use before being collected and distributed. The method used is to create a series of simple water purification devices consisting of an arrangement of adsorbents in the form of activated charcoal, sand, gravel, coral stone, and coconut fiber arranged in a tank. The result of this community service activity, the provision of clean water for school activities can be met, so that the academic community can enjoy clean water more easily and cheaper than before with better quality, quantity and continuity. The results of the analysis of well water after being clarified showed a reduction in the levels of Total Suspended Solid (TSS) which caused turbidity, with clean water quality that has met the requirements."
