csas_reference_id,year,extracted_title,reference,priority_for_scope_audit,priority_reason,corpus_match_status,matched_corpus_id,matched_corpus_title,match_score,match_method,manual_audit_note
CSAS-001,2006,Manipulation of environmental variables and the effect on the growth of Haliclona sp.: Implications for open-water aquaculture,"Abdo, D.A., Battershill, C.N., and Harvey, E.S. 2006. Manipulation of environmental variables and the effect on the growth of Haliclona sp.: Implications for open-water aquaculture. Mar. Biol. Res. 2(5): 326–332.",NO,,PRESENT,CWC-AD9675EA683A,Manipulation of environmental variables and the effect on the growth of<i>Haliclona</i>sp.: Implications for open-water aquaculture,0.97,fuzzy title/year,
CSAS-002,1992,Sponges of Britain & Ireland,"Ackers, R.G., Moss, D., and Picton, B.E. 1992. Sponges of Britain & Ireland. Marine Conservation Society, UK. Revised and extended, 2007, Bernard Picton, Christine Morrow & Rob van Soest.",NO,,NOT FOUND,,,0.364,no match above 0.84 threshold within publication year +/- 1,
CSAS-003,2012,"Desmophyllum dianthus (Esper, 1794) in the Scleractinian Phylogeny and Its Intraspecific Diversity","Addamo, A.M., Reimer, J.D., Taviani, M., Freiwald, A., and Machordom, A. 2012. Desmophyllum dianthus (Esper, 1794) in the Scleractinian Phylogeny and Its Intraspecific Diversity. PLoS ONE 7(11): e50215.",NO,,PRESENT,CWC-CAC21F0EA1A2,"Desmophyllum dianthus (Esper, 1794) in the Scleractinian Phylogeny and Its Intraspecific Diversity",1.0,normalized title contained in CSAS reference,
CSAS-004,2013,Resistance of Lophelia pertusa to coverage by sediment and petroleum drill cuttings,"Allers, E., Abed, R.M.M., Wehrmann, L.M., Wang, T., Larsson, A.I., Purser, A., and de Beer, D. 2013. Resistance of Lophelia pertusa to coverage by sediment and petroleum drill cuttings. Mar. Pollut. Bull. 74: 132–140.",YES,"Organism: cold-water coral; exposure/impact: sediment, drilling, drill cuttings",PRESENT,CWC-93C925DB4EEE,Resistance of Lophelia pertusa to coverage by sediment and petroleum drill cuttings,1.0,normalized title contained in CSAS reference,
CSAS-005,2009,Impacts of bottom trawling on deep-coral ecosystems of seamounts are long-lasting,"Althaus, F., Williams, A., Schlacher, T.A., Kloser, R.J., Green, M.A., Barker, B.A., Bax, N.J., Brodie, P., and Schlacher-Hoenlinger, M.A. 2009. Impacts of bottom trawling on deep-coral ecosystems of seamounts are long-lasting. Mar. Ecol. Prog. Ser. 397: 279–294.",NO,,PRESENT,CWC-1A45A5AC7924,Impacts of bottom trawling on deep-coral ecosystems of seamounts are long-lasting,1.0,normalized title contained in CSAS reference,
CSAS-006,2012,Diversity and distribution of sea-pens (Cnidaria: Pennatulacea) of the Flemish Pass and Grand Banks of Newfoundland (Northwest Atlantic Ocean),"Altuna, A., and Murillo, F.J. 2012. Diversity and distribution of sea-pens (Cnidaria: Pennatulacea) of the Flemish Pass and Grand Banks of Newfoundland (Northwest Atlantic Ocean). Revista de Investigación Marina. 19(6): 405–406.",NO,,NOT FOUND,,,0.722,no match above 0.84 threshold within publication year +/- 1,
CSAS-007,2014,"Deep-sea mushroom soft corals (Octocorallia: Alcyonacea) from the Flemish Pass, Flemish Cap and Grand Bank of Newfoundland (northwest Atlantic)","Altuna, A., Murillo, F.J., and Molodtsova, T. 2014. Deep-sea mushroom soft corals (Octocorallia: Alcyonacea) from the Flemish Pass, Flemish Cap and Grand Bank of Newfoundland (northwest Atlantic). XVIII Simposio Ibérico de Estudios de Biología Marina. Gijón, Spain, September 2–5.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.857,fuzzy title/year,
CSAS-008,2014,"Eastern Newfoundland Strategic Environmental Assessment ISBN 978-1-927098- 50-9, Canada-Newfoundland and Labrador Offshore Petroleum Board, St. John’s, NL. 99 p","AMEC. 2014. Eastern Newfoundland Strategic Environmental Assessment ISBN 978-1-927098- 50-9, Canada-Newfoundland and Labrador Offshore Petroleum Board, St. John’s, NL. 99 p.",NO,,PRESENT,CWC-96DD205703DC,Новые данные по палеонтологии палеозоя Агинской структурно-формационной зоны Забайкалья (часть 1),0.851,fuzzy title/year,
CSAS-009,2009,An evaluation of sponge-associated amphipods from the Antarctic Peninsula,"Amsler, M.O., McClintock, J.B., Amsler, C.D., Angus, R.A., and Baker, B.J. 2009. An evaluation of sponge-associated amphipods from the Antarctic Peninsula. Antarctic Science. 21(6): 579–589.",NO,,NOT FOUND,,,0.421,no match above 0.84 threshold within publication year +/- 1,
CSAS-010,1935,Porifera,"Arndt, W. 1935. Porifera. Tierwelt Nord.-Ostsee, IIIa: 1–140, figs. 1–239.",NO,,PRESENT,CWC-3444B99C490F,"A discussion of the sponge fauna of the Dry Tortugas in particular and the West Indies in general, with material for a revision of the families and orders of the Porifera",0.857,fuzzy title/year,
CSAS-011,2005,Are deep-water corals important habitats for fishes? In Cold-Water Corals and Ecosystems,"Auster, P.J. 2005. Are deep-water corals important habitats for fishes? In Cold-Water Corals and Ecosystems. Edited by A. Freiwald and J.M. Roberts. Springer Berlin Heidelberg. pp. 747–760.",NO,,PRESENT,CWC-5562D207FCD2,Are deep-water corals important habitats for fishes?,1.0,normalized title contained in CSAS reference,
CSAS-012,2007,Linking deep-water corals and fish populations,"Auster, P.J. 2007. Linking deep-water corals and fish populations. Bull. Mar. Sci. Miami. 81: 93– 99.",NO,,NOT FOUND,,,0.381,no match above 0.84 threshold within publication year +/- 1,
CSAS-013,2007,"Growth and morphology of reef-forming glass sponge, Aphrocallistes vastus (Hexactinellida), and implications for recovery from widespread trawl damage","Austin, W.C., Conway, K.W., Barrie, J.V., and Krautter, M. 2007. Growth and morphology of reef-forming glass sponge, Aphrocallistes vastus (Hexactinellida), and implications for recovery from widespread trawl damage. In Porifera Research: Biodiversity, Innovation and Sustainability. Edited by M.R. Custodia, G. Lobo-Hajdu, E. Hajdu, and G. Muricy. Universidade Federal do Rio de Janeiro. pp. 139–145.",NO,,PRESENT,CWC-59137DCF3692,"Growth and morphology of a reef-forming glass sponge, Aphrocallistes vastus (Hexactinellida), and implications for recovery from widespread trawl damage",0.973,fuzzy title/year,
CSAS-014,2007,Sponges of the marine karst lakes and of the coast of the islands of Ha Long Bay (North Vietnam),"Azzini, F., Calcinai, B., Cerrano, C., Bavestrello, G., and Pansini, M. 2007. Sponges of the marine karst lakes and of the coast of the islands of Ha Long Bay (North Vietnam). In Porifera Research: Biodiversity, Innovation and Sustainability. Edited by M.R. Custodia, G. Lobo-Hajdu, E. Hajdu, and G. Muricy. Universidade Federal do Rio de Janeiro. pp. 157– 164.",NO,,PRESENT,CWC-7A0051883470,Sponges,0.861,fuzzy title/year,
CSAS-015,2015,Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic,"Baillon, S., English, M., Hamel, J.-F. and Mercier, A. 2015. Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic. Acta Zoologica. 97(4): 475– 493.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.859,fuzzy title/year,
